asset_id,asset_type,chapter_id,scene_id,character_id,location_id,shot_type,story_state,source_reference,file_path,status,priority,version,notes
character_master_shen_yanzhou,character_master_reference,,,shen_yanzhou,,character_standard_board,1937_default,DEC-20260830-24,art/角色设定/沈砚舟_角色标准板_定稿.png,locked,baseline,reference_five_paper_effigy_92_dec24_locked,92分通过完整纸偶硬门槛；年轻记者边界不变，标准板陈列物不自动成为固定剧情道具。
character_master_lin_huaian,character_master_reference,,,lin_huaian,,character_standard_board,1937_default,DEC-20260830-05,art/角色设定/林怀安_角色标准板_定稿.png,locked,baseline,expression_revision_v2_locked,表情修正版正式标准板；早期表情候选不得作为后续基准。
character_master_xu_jichuan,character_master_reference,,,xu_jichuan,,character_standard_board,1937_default,DEC-20260830-09,art/角色设定/许济川_角色标准板_定稿.png,locked,baseline,local_revision_v1_locked,局部修正版已批准并归档为正式标准板；已撤销误定稿仅供追溯。
character_master_lin_yutang,character_master_reference,,,lin_yutang,,character_standard_board,1937_default,DEC-20260830-10,art/角色设定/林玉棠_角色设定_定稿.png,locked,baseline,current_locked,信封和钥匙明确不属于固定随身物；面部统一审查列为后续P1。
character_master_bai_suqiu,character_master_reference,,,bai_suqiu,,character_standard_board,1917_reference,DEC-20260830-19,art/角色设定/白素秋_角色标准板_定稿.png,locked-exception,baseline,user_selected_original,恢复项目负责人原选华丽母版；圆扇、披肩、挂饰与信笺本不进入固定道具；正式年龄仍为22岁；不作为共同画法基线。
character_master_chen_jiusheng,character_master_reference,,,chen_jiusheng,,character_standard_board,1937_default,DEC-20260830-24,art/角色设定/陈九生_角色标准板_定稿.png,locked,baseline,reference_five_paper_effigy_90_dec24_locked,90分通过完整纸偶硬门槛；后台总管边界不变，当前无确认的固定随身物。
character_master_acheng,character_master_reference,,,acheng,,character_standard_board,1937_default,DEC-20260830-24,art/角色设定/阿成_角色标准板_定稿.png,locked,baseline,reference_five_paper_effigy_91_dec24_locked,91分通过完整纸偶硬门槛；前场跑腿与一步未完体态不变，当前无确认的固定随身物。
character_master_fang_zhongshan,character_master_reference,,,fang_zhongshan,,character_standard_board,1937_default,DEC-20260830-24,art/角色设定/方仲山_角色标准板_定稿.png,locked,baseline,reference_five_paper_effigy_93_dec24_locked,93分通过完整纸偶硬门槛；扁窄细框眼镜固定，旧v4画布与连续暗纹例外不恢复。
character_master_gu_chengjun,character_master_reference,,,gu_chengjun,,character_standard_board,1937_default,DEC-20260830-24,art/角色设定/顾承钧_角色标准板_定稿.png,locked,baseline,reference_five_paper_effigy_91_dec24_locked,91分通过完整纸偶硬门槛；保留城市警察识别，年龄、机构、警号与军衔仍待确认。
character_master_xiaoliu,character_master_reference,,,xiaoliu,,character_standard_board,1937_default,DEC-20260830-24,art/角色设定/小六_角色标准板_定稿.png,locked,baseline,reference_five_paper_effigy_92_dec24_locked,92分通过完整纸偶硬门槛；保留浅衫深坎肩与等待姿态，确切年龄、具体工种及固定道具待确认。
